iter	Passed	Remaining
0	2	2974
1	5	2561
2	7	2639
3	10	2520
4	12	2405
5	14	2331
6	16	2278
7	18	2254
8	22	2443
9	24	2418
10	26	2417
11	28	2353
12	30	2295
13	31	2252
14	33	2219
15	35	2198
16	37	2182
17	39	2169
18	41	2162
19	43	2145
20	45	2132
21	50	2241
22	52	2244
23	57	2328
24	60	2347
25	62	2345
26	65	2352
27	67	2328
28	69	2343
29	72	2343
30	74	2324
31	76	2308
32	79	2334
33	81	2329
34	84	2337
35	86	2318
36	88	2300
37	90	2280
38	91	2263
39	93	2255
40	95	2235
41	97	2221
42	99	2206
43	100	2188
44	102	2171
45	103	2154
46	105	2137
47	107	2122
48	108	2107
49	110	2090
50	111	2072
51	112	2056
52	114	2042
53	115	2026
54	117	2013
55	118	2000
56	120	1988
57	121	1976
58	123	1965
59	124	1953
60	125	1939
61	127	1926
62	128	1912
63	129	1898
64	131	1886
65	132	1873
66	133	1862
67	135	1852
68	136	1842
69	137	1831
70	139	1821
71	140	1812
72	141	1802
73	143	1792
74	144	1783
75	145	1774
76	147	1765
77	148	1756
78	149	1746
79	151	1737
80	152	1729
81	153	1722
82	155	1715
83	156	1707
84	157	1699
85	159	1691
86	160	1685
87	161	1678
88	163	1671
89	164	1665
90	166	1658
91	167	1651
92	168	1646
93	170	1639
94	171	1634
95	172	1627
96	174	1621
97	175	1615
98	176	1609
99	178	1603
100	179	1597
101	180	1592
102	182	1587
103	183	1582
104	185	1579
105	187	1579
106	188	1576
107	190	1572
108	191	1568
109	194	1570
110	195	1567
111	197	1563
112	198	1559
113	200	1560
114	202	1557
115	203	1554
116	206	1555
117	207	1551
118	209	1547
119	210	1544
120	211	1539
121	213	1535
122	214	1531
123	216	1526
124	217	1522
125	219	1521
126	220	1517
127	222	1514
128	223	1510
129	225	1507
130	226	1503
131	227	1499
132	229	1495
133	230	1492
134	232	1489
135	233	1484
136	235	1481
137	236	1478
138	238	1475
139	239	1471
140	240	1467
141	242	1463
142	243	1459
143	244	1456
144	246	1451
145	247	1448
146	248	1444
147	250	1441
148	251	1437
149	253	1433
150	254	1430
151	256	1431
152	257	1427
153	259	1423
154	260	1420
155	261	1417
156	263	1413
157	264	1409
158	265	1406
159	267	1402
160	268	1399
161	269	1395
162	271	1392
163	272	1389
164	273	1385
165	275	1383
166	276	1379
167	277	1376
168	279	1373
169	280	1369
170	281	1366
171	283	1363
172	284	1360
173	286	1357
174	287	1354
175	288	1352
176	290	1348
177	291	1345
178	292	1343
179	294	1340
180	295	1337
181	297	1335
182	298	1332
183	299	1329
184	301	1326
185	302	1323
186	303	1321
187	305	1318
188	306	1316
189	308	1313
190	309	1310
191	310	1308
192	312	1305
193	313	1302
194	314	1299
195	316	1296
196	317	1293
197	318	1291
198	320	1288
199	321	1285
200	322	1282
201	324	1280
202	325	1278
203	326	1275
204	328	1272
205	329	1269
206	330	1266
207	332	1264
208	333	1262
209	334	1260
210	336	1257
211	337	1254
212	338	1252
213	340	1249
214	341	1247
215	343	1245
216	344	1242
217	345	1239
218	346	1236
219	348	1234
220	349	1231
221	350	1228
222	351	1226
223	353	1223
224	354	1221
225	355	1218
226	357	1216
227	358	1213
228	359	1211
229	360	1208
230	362	1206
231	363	1203
232	364	1201
233	366	1198
234	367	1195
235	368	1193
236	369	1191
237	371	1188
238	372	1185
239	373	1184
240	376	1184
241	378	1185
242	379	1183
243	381	1182
244	383	1180
245	384	1178
246	385	1176
247	387	1175
248	389	1174
249	390	1172
250	392	1171
251	393	1168
252	395	1166
253	397	1166
254	398	1164
255	400	1163
256	402	1162
257	404	1161
258	405	1159
259	407	1158
260	408	1156
261	410	1155
262	411	1153
263	413	1151
264	414	1149
265	416	1149
266	419	1151
267	421	1150
268	423	1150
269	425	1149
270	427	1148
271	428	1146
272	429	1144
273	431	1142
274	432	1140
275	434	1139
276	435	1137
277	437	1136
278	438	1134
279	440	1132
280	442	1131
281	443	1129
282	444	1126
283	446	1124
284	447	1122
285	448	1120
286	450	1118
287	451	1116
288	453	1114
289	454	1112
290	455	1110
291	456	1108
292	458	1106
293	459	1103
294	461	1101
295	462	1100
296	463	1098
297	465	1095
298	466	1093
299	467	1091
300	468	1089
301	470	1087
302	471	1085
303	473	1083
304	474	1081
305	475	1079
306	477	1077
307	478	1075
308	480	1074
309	481	1071
310	482	1069
311	484	1067
312	485	1065
313	487	1064
314	488	1062
315	490	1060
316	491	1058
317	492	1056
318	494	1054
319	495	1052
320	496	1050
321	497	1048
322	499	1046
323	500	1044
324	502	1042
325	503	1041
326	505	1039
327	506	1037
328	507	1035
329	509	1033
330	510	1032
331	512	1030
332	513	1029
333	515	1027
334	516	1025
335	518	1024
336	519	1022
337	521	1020
338	522	1018
339	524	1017
340	525	1016
341	527	1014
342	528	1012
343	529	1010
344	531	1008
345	533	1008
346	534	1006
347	536	1004
348	537	1003
349	539	1001
350	541	1000
351	542	998
352	543	996
353	545	995
354	546	993
355	548	992
356	550	991
357	551	989
358	553	987
359	554	986
360	556	984
361	557	982
362	558	980
363	560	978
364	561	976
365	563	976
366	566	976
367	567	974
368	569	973
369	571	973
370	572	971
371	574	969
372	575	967
373	576	965
374	579	965
375	580	964
376	582	962
377	583	960
378	585	959
379	587	957
380	588	955
381	589	954
382	591	952
383	593	952
384	594	950
385	596	948
386	597	947
387	600	946
388	601	945
389	603	943
390	604	941
391	606	939
392	607	938
393	609	937
394	610	935
395	612	933
396	613	931
397	615	931
398	617	929
399	618	927
400	620	926
401	621	924
402	623	923
403	624	921
404	626	919
405	627	918
406	628	916
407	631	915
408	632	914
409	634	912
410	635	910
411	636	908
412	638	907
413	640	906
414	641	904
415	642	901
416	643	900
417	647	901
418	648	899
419	650	897
420	651	895
421	652	893
422	654	892
423	655	891
424	657	889
425	658	887
426	659	885
427	661	884
428	663	883
429	664	881
430	666	879
431	667	877
432	669	876
433	670	874
434	671	872
435	673	870
436	674	868
437	675	867
438	677	866
439	679	864
440	680	862
441	681	860
442	683	858
443	684	857
444	686	855
445	687	854
446	689	852
447	690	850
448	692	849
449	693	847
450	694	845
451	696	844
452	697	842
453	699	840
454	700	839
455	702	837
456	703	835
457	704	833
458	706	832
459	707	830
460	709	829
461	710	827
462	711	825
463	713	823
464	714	822
465	716	820
466	717	818
467	718	817
468	720	815
469	721	813
470	723	812
471	724	810
472	725	808
473	727	807
474	728	805
475	730	804
476	731	802
477	733	800
478	734	798
479	735	797
480	737	795
481	738	793
482	740	792
483	741	790
484	742	788
485	743	786
486	745	785
487	746	783
488	748	781
489	749	779
490	751	778
491	753	777
492	754	776
493	756	774
494	758	773
495	759	772
496	761	770
497	763	769
498	764	767
499	766	766
500	768	765
501	769	763
502	783	773
503	784	772
504	786	770
505	788	769
506	789	768
507	811	786
508	813	784
509	816	784
510	817	782
511	820	782
512	823	781
513	825	780
514	828	779
515	841	789
516	844	789
517	847	788
518	850	787
519	852	787
520	855	786
521	856	784
522	858	783
523	860	782
524	863	781
525	865	779
526	867	778
527	869	777
528	871	775
529	873	774
530	874	772
531	876	771
532	878	769
533	880	768
534	882	766
535	884	765
536	885	763
537	887	761
538	889	760
539	891	759
540	893	757
541	894	756
542	896	754
543	898	753
544	900	751
545	901	749
546	903	748
547	905	746
548	906	744
549	908	743
550	909	741
551	911	740
552	913	738
553	914	736
554	916	734
555	918	733
556	920	731
557	921	729
558	923	728
559	925	727
560	927	725
561	929	724
562	930	722
563	932	720
564	934	719
565	936	717
566	938	716
567	944	718
568	947	717
569	950	716
570	953	716
571	956	715
572	959	714
573	962	714
574	965	713
575	970	714
576	974	714
577	977	713
578	981	713
579	984	713
580	987	712
581	991	711
582	994	711
583	997	710
584	1000	709
585	1003	708
586	1006	708
587	1008	706
588	1014	707
589	1017	707
590	1021	706
591	1025	706
592	1029	706
593	1032	705
594	1034	704
595	1037	703
596	1040	702
597	1043	701
598	1047	701
599	1050	700
600	1053	699
601	1055	697
602	1058	696
603	1061	695
604	1063	694
605	1066	693
606	1068	691
607	1072	691
608	1075	690
609	1078	689
610	1080	687
611	1082	685
612	1083	683
613	1084	682
614	1088	681
615	1090	679
616	1091	677
617	1093	676
618	1095	674
619	1097	672
620	1098	670
621	1100	668
622	1104	668
623	1105	666
624	1108	664
625	1110	663
626	1111	661
627	1113	659
628	1114	657
629	1116	655
630	1119	654
631	1121	652
632	1123	651
633	1125	649
634	1126	647
635	1128	645
636	1129	643
637	1130	641
638	1133	640
639	1135	638
640	1137	636
641	1139	635
642	1141	633
643	1143	632
644	1145	630
645	1146	628
646	1150	627
647	1151	625
648	1152	623
649	1154	621
650	1155	619
651	1156	617
652	1158	615
653	1159	613
654	1161	611
655	1162	609
656	1164	608
657	1166	606
658	1167	604
659	1169	602
660	1170	600
661	1173	599
662	1175	597
663	1177	595
664	1180	594
665	1182	593
666	1183	591
667	1185	589
668	1187	587
669	1189	585
670	1190	583
671	1192	581
672	1193	579
673	1196	578
674	1197	576
675	1198	574
676	1200	572
677	1202	570
